invmass[MeV],Events,y_err,x_err,Invmass_low[MeV],Invmass_high[MeV],x
3852,0,0,0.002,3851.5,3855.5,3.852
3856,0,0,0.002,3855.5,3859.5,3.856
3860,0,0,0.002,3859.5,3863.5,3.86
3864,0,0,0.002,3863.5,3867.5,3.864
3868,0,0,0.002,3867.5,3871.5,3.868
3872,0,0,0.002,3871.5,3875.5,3.872
3876,31,5.57,0.002,3875.5,3879.5,3.876
3880,59,7.68,0.002,3879.5,3883.5,3.88
3884,81,9,0.002,3883.5,3887.5,3.884
3888,63,7.94,0.002,3887.5,3891.5,3.888
3892,50,7.07,0.002,3891.5,3895.5,3.892
3896,41,6.4,0.002,3895.5,3899.5,3.896
3900,58,7.62,0.002,3899.5,3903.5,3.9
3904,44,6.63,0.002,3903.5,3907.5,3.904
3908,37,6.08,0.002,3907.5,3911.5,3.908
3912,38,6.16,0.002,3911.5,3915.5,3.912
3916,28,5.29,0.002,3915.5,3919.5,3.916
3920,21,4.58,0.002,3919.5,3923.5,3.92
3924,21,4.58,0.002,3923.5,3927.5,3.924
3928,16,4,0.002,3927.5,3931.5,3.928
3932,32,5.66,0.002,3931.5,3935.5,3.932
3936,25,5,0.002,3935.5,3939.5,3.936
3940,25,5,0.002,3939.5,3943.5,3.94
3944,24,4.9,0.002,3943.5,3947.5,3.944
3948,31,5.57,0.002,3947.5,3951.5,3.948
3952,14,3.74,0.002,3951.5,3955.5,3.952
3956,30,5.48,0.002,3955.5,3959.5,3.956
3960,22,4.69,0.002,3959.5,3963.5,3.96
3964,28,5.29,0.002,3963.5,3967.5,3.964
3968,24,4.9,0.002,3967.5,3971.5,3.968
3972,23,4.8,0.002,3971.5,3975.5,3.972
3976,24,4.9,0.002,3975.5,3979.5,3.976
3980,25,5,0.002,3979.5,3983.5,3.98
3984,18,4.24,0.002,3983.5,3987.5,3.984
3988,31,5.57,0.002,3987.5,3991.5,3.988
3992,26,5.1,0.002,3991.5,3995.5,3.992
3996,34,5.83,0.002,3995.5,3999.5,3.996
4000,26,5.1,0.002,3999.5,4003.5,4
4004,26,5.1,0.002,4003.5,4007.5,4.004
4008,21,4.58,0.002,4007.5,4011.5,4.008
4012,16,4,0.002,4011.5,4015.5,4.012
4016,30,5.48,0.002,4015.5,4019.5,4.016
4020,33,5.74,0.002,4019.5,4023.5,4.02
4024,18,4.24,0.002,4023.5,4027.5,4.024
4028,21,4.58,0.002,4027.5,4031.5,4.028
4032,21,4.58,0.002,4031.5,4035.5,4.032
4036,27,5.2,0.002,4035.5,4039.5,4.036
4040,22,4.69,0.002,4039.5,4043.5,4.04
4044,21,4.58,0.002,4043.5,4047.5,4.044
4048,26,5.1,0.002,4047.5,4051.5,4.048
4052,31,5.57,0.002,4051.5,4055.5,4.052
4056,21,4.58,0.002,4055.5,4059.5,4.056
4060,20,4.47,0.002,4059.5,4063.5,4.06
4064,17,4.12,0.002,4063.5,4067.5,4.064
4068,21,4.58,0.002,4067.5,4071.5,4.068
4072,20,4.47,0.002,4071.5,4075.5,4.072
4076,26,5.1,0.002,4075.5,4079.5,4.076
4080,18,4.24,0.002,4079.5,4083.5,4.08
4084,21,4.58,0.002,4083.5,4087.5,4.084
4088,22,4.69,0.002,4087.5,4091.5,4.088
4092,10,3.16,0.002,4091.5,4095.5,4.092
4096,12,3.46,0.002,4095.5,4099.5,4.096
4100,8,2.83,0.002,4099.5,4103.5,4.1
4104,0,0,0.002,4103.5,4107.5,4.104
4108,0,0,0.002,4107.5,4111.5,4.108
4112,0,0,0.002,4111.5,4115.5,4.112
4116,0,0,0.002,4115.5,4119.5,4.116
4120,0,0,0.002,4119.5,4123.5,4.12
4124,0,0,0.002,4123.5,4127.5,4.124
4128,0,0,0.002,4127.5,4131.5,4.128
4132,0,0,0.002,4131.5,4135.5,4.132
4136,0,0,0.002,4135.5,4139.5,4.136
4140,0,0,0.002,4139.5,4143.5,4.14
4144,0,0,0.002,4143.5,4147.5,4.144
4148,0,0,0.002,4147.5,4151.5,4.148
